MessageNumber	DiagnosisTypes	Timestamp	TimeElapsed	Source	Destination	Module	Summary	Fid_UsbDevice	Fid_URB_TransferData	Fid_UCX_URB_BULK_OR_INTERRUPT_TRANSFER.Fid_URB_TransferFlags	Fid_UCX_URB_BULK_OR_INTERRUPT_TRANSFER.Fid_URB_TransferBufferLength
18671	None	2016-01-09T15:41:58.2148801				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,96]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18673	None	2016-01-09T15:41:58.2158777				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,88]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18675	None	2016-01-09T15:41:58.2178811				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,0]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18677	None	2016-01-09T15:41:58.2188775				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,3]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18679	None	2016-01-09T15:41:58.2198775				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,19]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18681	None	2016-01-09T15:41:58.2208796				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,144]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18683	None	2016-01-09T15:41:58.2218961				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,20]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18685	None	2016-01-09T15:41:58.2228859				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,0]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18687	None	2016-01-09T15:41:58.2238843				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,4]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
18689	None	2016-01-09T15:41:58.2248917				Microsoft_Windows_USB_UCX	Complete URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER with partial data	0x00001FFF33A2B7B8	[1,0]	0x00000003 (0x00000003)	0x00000002 (0x00000002)	
